# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-04-18 20:31:20 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11113000 SESPE C NR FILLMORE
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11113000
#    TS_ID       Parameter Description
#    14414       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     Rat  Rating being developed.
#
agency_cd	site_no	datetime	tz_cd	14414_00060	14414_00060_cd
USGS	11113000	2023-01-01 08:30	PST	2010	P
USGS	11113000	2023-01-01 08:45	PST	1970	P
USGS	11113000	2023-01-01 09:00	PST	1900	P
USGS	11113000	2023-01-01 09:15	PST	1880	P
USGS	11113000	2023-01-01 09:30	PST	1850	P
USGS	11113000	2023-01-01 09:45	PST	1710	P
USGS	11113000	2023-01-01 10:00	PST	1530	P
USGS	11113000	2023-01-01 10:15	PST	1570	P
USGS	11113000	2023-01-01 10:30	PST	1550	P
USGS	11113000	2023-01-01 10:45	PST	1490	P
USGS	11113000	2023-01-01 11:00	PST	1460	P
USGS	11113000	2023-01-01 11:15	PST	1400	P
USGS	11113000	2023-01-01 11:30	PST	1400	P
USGS	11113000	2023-01-01 11:45	PST	1320	P
USGS	11113000	2023-01-01 12:00	PST	1290	P
USGS	11113000	2023-01-01 12:15	PST	1240	P
USGS	11113000	2023-01-01 12:30	PST	1180	P
USGS	11113000	2023-01-01 12:45	PST	1190	P
USGS	11113000	2023-01-01 13:00	PST	1190	P
USGS	11113000	2023-01-01 13:15	PST	1150	P
USGS	11113000	2023-01-01 13:30	PST	1140	P
USGS	11113000	2023-01-01 13:45	PST	1090	P
USGS	11113000	2023-01-01 14:00	PST	1070	P
USGS	11113000	2023-01-01 14:15	PST	1060	P
USGS	11113000	2023-01-01 14:30	PST	1040	P
USGS	11113000	2023-01-01 14:45	PST	1030	P
USGS	11113000	2023-01-01 15:00	PST	981	P
USGS	11113000	2023-01-01 15:15	PST	969	P
USGS	11113000	2023-01-01 15:30	PST	922	P
USGS	11113000	2023-01-01 15:45	PST	911	P
USGS	11113000	2023-01-01 16:00	PST	940	P
USGS	11113000	2023-01-01 16:15	PST	860	P
USGS	11113000	2023-01-01 16:30	PST	899	P
USGS	11113000	2023-01-01 16:45	PST	849	P
USGS	11113000	2023-01-01 17:00	PST	871	P
USGS	11113000	2023-01-01 17:15	PST	811	P
USGS	11113000	2023-01-01 17:30	PST	805	P
USGS	11113000	2023-01-01 17:45	PST	805	P
USGS	11113000	2023-01-01 18:00	PST	795	P
USGS	11113000	2023-01-01 18:15	PST	779	P
USGS	11113000	2023-01-01 18:30	PST	709	P
USGS	11113000	2023-01-01 18:45	PST	704	P
USGS	11113000	2023-01-01 19:00	PST	713	P
USGS	11113000	2023-01-01 19:15	PST	723	P
USGS	11113000	2023-01-01 19:30	PST	704	P
USGS	11113000	2023-01-01 19:45	PST	774	P
USGS	11113000	2023-01-01 20:00	PST	713	P
USGS	11113000	2023-01-01 20:15	PST	733	P
USGS	11113000	2023-01-01 20:30	PST	633	P
USGS	11113000	2023-01-01 20:45	PST	665	P
USGS	11113000	2023-01-01 21:00	PST	647	P
USGS	11113000	2023-01-01 21:15	PST	611	P
USGS	11113000	2023-01-01 21:30	PST	580	P
USGS	11113000	2023-01-01 21:45	PST	602	P
USGS	11113000	2023-01-01 22:00	PST	559	P
USGS	11113000	2023-01-01 22:15	PST	589	P
USGS	11113000	2023-01-01 22:30	PST	597	P
USGS	11113000	2023-01-01 22:45	PST	530	P
USGS	11113000	2023-01-01 23:00	PST	518	P
USGS	11113000	2023-01-01 23:15	PST	538	P
USGS	11113000	2023-01-01 23:30	PST	502	P
USGS	11113000	2023-01-01 23:45	PST	502	P
USGS	11113000	2023-01-02 00:00	PST	494	P
USGS	11113000	2023-01-02 00:15	PST	479	P
USGS	11113000	2023-01-02 00:30	PST	464	P
USGS	11113000	2023-01-02 00:45	PST	483	P
USGS	11113000	2023-01-02 01:00	PST	453	P
USGS	11113000	2023-01-02 01:15	PST	457	P
USGS	11113000	2023-01-02 01:30	PST	468	P
USGS	11113000	2023-01-02 01:45	PST	442	P
USGS	11113000	2023-01-02 02:00	PST	449	P
USGS	11113000	2023-01-02 02:15	PST	446	P
USGS	11113000	2023-01-02 02:30	PST	435	P
USGS	11113000	2023-01-02 02:45	PST	428	P
USGS	11113000	2023-01-02 03:00	PST	421	P
USGS	11113000	2023-01-02 03:15	PST	417	P
USGS	11113000	2023-01-02 03:30	PST	421	P
USGS	11113000	2023-01-02 03:45	PST	404	P
USGS	11113000	2023-01-02 04:00	PST	404	P
USGS	11113000	2023-01-02 04:15	PST	410	P
USGS	11113000	2023-01-02 04:30	PST	417	P
USGS	11113000	2023-01-02 04:45	PST	397	P
USGS	11113000	2023-01-02 05:00	PST	380	P
USGS	11113000	2023-01-02 05:15	PST	371	P
USGS	11113000	2023-01-02 05:30	PST	387	P
USGS	11113000	2023-01-02 05:45	PST	371	P
USGS	11113000	2023-01-02 06:00	PST	367	P
USGS	11113000	2023-01-02 06:15	PST	374	P
USGS	11113000	2023-01-02 06:30	PST	352	P
USGS	11113000	2023-01-02 06:45	PST	355	P
USGS	11113000	2023-01-02 07:00	PST	355	P
USGS	11113000	2023-01-02 07:15	PST	355	P
USGS	11113000	2023-01-02 07:30	PST	352	P
USGS	11113000	2023-01-02 07:45	PST	343	P
USGS	11113000	2023-01-02 08:00	PST	352	P
USGS	11113000	2023-01-02 08:15	PST	335	P
USGS	11113000	2023-01-02 08:30	PST	333	P
USGS	11113000	2023-01-02 08:45	PST	322	P
USGS	11113000	2023-01-02 09:00	PST	322	P
USGS	11113000	2023-01-02 09:15	PST	330	P
USGS	11113000	2023-01-02 09:30	PST	325	P
USGS	11113000	2023-01-02 09:45	PST	314	P
USGS	11113000	2023-01-02 10:00	PST	322	P
USGS	11113000	2023-01-02 10:15	PST	325	P
USGS	11113000	2023-01-02 10:30	PST	322	P
USGS	11113000	2023-01-02 10:45	PST	314	P
USGS	11113000	2023-01-02 11:00	PST	319	P
USGS	11113000	2023-01-02 11:15	PST	314	P
USGS	11113000	2023-01-02 11:30	PST	314	P
USGS	11113000	2023-01-02 11:45	PST	302	P
USGS	11113000	2023-01-02 12:00	PST	312	P
USGS	11113000	2023-01-02 12:15	PST	307	P
USGS	11113000	2023-01-02 12:30	PST	299	P
USGS	11113000	2023-01-02 12:45	PST	302	P
USGS	11113000	2023-01-02 13:00	PST	299	P
USGS	11113000	2023-01-02 13:15	PST	294	P
USGS	11113000	2023-01-02 13:30	PST	289	P
USGS	11113000	2023-01-02 13:45	PST	292	P
USGS	11113000	2023-01-02 14:00	PST	287	P
USGS	11113000	2023-01-02 14:15	PST	287	P
USGS	11113000	2023-01-02 14:30	PST	284	P
USGS	11113000	2023-01-02 14:45	PST	282	P
USGS	11113000	2023-01-02 15:00	PST	282	P
USGS	11113000	2023-01-02 15:15	PST	277	P
USGS	11113000	2023-01-02 15:30	PST	275	P
USGS	11113000	2023-01-02 15:45	PST	269	P
USGS	11113000	2023-01-02 16:00	PST	272	P
USGS	11113000	2023-01-02 16:15	PST	269	P
USGS	11113000	2023-01-02 16:30	PST	267	P
USGS	11113000	2023-01-02 16:45	PST	267	P
USGS	11113000	2023-01-02 17:00	PST	264	P
USGS	11113000	2023-01-02 17:15	PST	258	P
USGS	11113000	2023-01-02 17:30	PST	258	P
USGS	11113000	2023-01-02 17:45	PST	258	P
USGS	11113000	2023-01-02 18:00	PST	255	P
USGS	11113000	2023-01-02 18:15	PST	255	P
USGS	11113000	2023-01-02 18:30	PST	255	P
USGS	11113000	2023-01-02 18:45	PST	252	P
USGS	11113000	2023-01-02 19:00	PST	252	P
USGS	11113000	2023-01-02 19:15	PST	249	P
USGS	11113000	2023-01-02 19:30	PST	246	P
USGS	11113000	2023-01-02 19:45	PST	244	P
USGS	11113000	2023-01-02 20:00	PST	244	P
USGS	11113000	2023-01-02 20:15	PST	241	P
USGS	11113000	2023-01-02 20:30	PST	238	P
USGS	11113000	2023-01-02 20:45	PST	238	P
USGS	11113000	2023-01-02 21:00	PST	238	P
USGS	11113000	2023-01-02 21:15	PST	235	P
USGS	11113000	2023-01-02 21:30	PST	230	P
USGS	11113000	2023-01-02 21:45	PST	233	P
USGS	11113000	2023-01-02 22:00	PST	233	P
USGS	11113000	2023-01-02 22:15	PST	233	P
USGS	11113000	2023-01-02 22:30	PST	233	P
USGS	11113000	2023-01-02 22:45	PST	233	P
USGS	11113000	2023-01-02 23:00	PST	230	P
USGS	11113000	2023-01-02 23:15	PST	233	P
USGS	11113000	2023-01-02 23:30	PST	230	P
USGS	11113000	2023-01-02 23:45	PST	230	P
USGS	11113000	2023-01-03 00:00	PST	227	P
USGS	11113000	2023-01-03 00:15	PST	227	P
USGS	11113000	2023-01-03 00:30	PST	224	P
USGS	11113000	2023-01-03 00:45	PST	224	P
USGS	11113000	2023-01-03 01:00	PST	224	P
USGS	11113000	2023-01-03 01:15	PST	222	P
USGS	11113000	2023-01-03 01:30	PST	222	P
USGS	11113000	2023-01-03 01:45	PST	217	P
USGS	11113000	2023-01-03 02:00	PST	222	P
USGS	11113000	2023-01-03 02:15	PST	219	P
USGS	11113000	2023-01-03 02:30	PST	219	P
USGS	11113000	2023-01-03 02:45	PST	214	P
USGS	11113000	2023-01-03 03:00	PST	217	P
USGS	11113000	2023-01-03 03:15	PST	214	P
USGS	11113000	2023-01-03 03:30	PST	214	P
USGS	11113000	2023-01-03 03:45	PST	214	P
USGS	11113000	2023-01-03 04:00	PST	214	P
USGS	11113000	2023-01-03 04:15	PST	214	P
USGS	11113000	2023-01-03 04:30	PST	214	P
USGS	11113000	2023-01-03 04:45	PST	217	P
USGS	11113000	2023-01-03 05:00	PST	217	P
USGS	11113000	2023-01-03 05:15	PST	214	P
USGS	11113000	2023-01-03 05:30	PST	214	P
USGS	11113000	2023-01-03 05:45	PST	211	P
USGS	11113000	2023-01-03 06:00	PST	209	P
USGS	11113000	2023-01-03 06:15	PST	211	P
USGS	11113000	2023-01-03 06:30	PST	206	P
USGS	11113000	2023-01-03 06:45	PST	209	P
USGS	11113000	2023-01-03 07:00	PST	201	P
USGS	11113000	2023-01-03 07:15	PST	206	P
USGS	11113000	2023-01-03 07:30	PST	204	P
USGS	11113000	2023-01-03 07:45	PST	204	P
USGS	11113000	2023-01-03 08:00	PST	204	P
USGS	11113000	2023-01-03 08:15	PST	201	P
USGS	11113000	2023-01-03 08:30	PST	201	P
USGS	11113000	2023-01-03 08:45	PST	199	P
USGS	11113000	2023-01-03 09:00	PST	199	P
USGS	11113000	2023-01-03 09:15	PST	199	P
USGS	11113000	2023-01-03 09:30	PST	201	P
USGS	11113000	2023-01-03 09:45	PST	199	P
USGS	11113000	2023-01-03 10:00	PST	201	P
USGS	11113000	2023-01-03 10:15	PST	199	P
USGS	11113000	2023-01-03 10:30	PST	196	P
USGS	11113000	2023-01-03 10:45	PST	196	P
USGS	11113000	2023-01-03 11:00	PST	199	P
USGS	11113000	2023-01-03 11:15	PST	194	P
USGS	11113000	2023-01-03 11:30	PST	194	P
USGS	11113000	2023-01-03 11:45	PST	196	P
USGS	11113000	2023-01-03 12:00	PST	196	P
USGS	11113000	2023-01-03 12:15	PST	196	P
USGS	11113000	2023-01-03 12:30	PST	196	P
USGS	11113000	2023-01-03 12:45	PST	196	P
USGS	11113000	2023-01-03 13:00	PST	194	P
USGS	11113000	2023-01-03 13:15	PST	194	P
USGS	11113000	2023-01-03 13:30	PST	194	P
USGS	11113000	2023-01-03 13:45	PST	194	P
USGS	11113000	2023-01-03 14:00	PST	196	P
USGS	11113000	2023-01-03 14:15	PST	194	P
USGS	11113000	2023-01-03 14:30	PST	196	P
USGS	11113000	2023-01-03 14:45	PST	196	P
USGS	11113000	2023-01-03 15:00	PST	199	P
USGS	11113000	2023-01-03 15:15	PST	194	P
USGS	11113000	2023-01-03 15:30	PST	194	P
USGS	11113000	2023-01-03 15:45	PST	194	P
USGS	11113000	2023-01-03 16:00	PST	192	P
USGS	11113000	2023-01-03 16:15	PST	192	P
USGS	11113000	2023-01-03 16:30	PST	189	P
USGS	11113000	2023-01-03 16:45	PST	189	P
USGS	11113000	2023-01-03 17:00	PST	187	P
USGS	11113000	2023-01-03 17:15	PST	187	P
USGS	11113000	2023-01-03 17:30	PST	184	P
USGS	11113000	2023-01-03 17:45	PST	184	P
USGS	11113000	2023-01-03 18:00	PST	184	P
USGS	11113000	2023-01-03 18:15	PST	182	P
USGS	11113000	2023-01-03 18:30	PST	182	P
USGS	11113000	2023-01-03 18:45	PST	180	P
USGS	11113000	2023-01-03 19:00	PST	180	P
USGS	11113000	2023-01-03 19:15	PST	180	P
USGS	11113000	2023-01-03 19:30	PST	177	P
USGS	11113000	2023-01-03 19:45	PST	177	P
USGS	11113000	2023-01-03 20:00	PST	175	P
USGS	11113000	2023-01-03 20:15	PST	175	P
USGS	11113000	2023-01-03 20:30	PST	173	P
USGS	11113000	2023-01-03 20:45	PST	173	P
USGS	11113000	2023-01-03 21:00	PST	173	P
USGS	11113000	2023-01-03 21:15	PST	171	P
USGS	11113000	2023-01-03 21:30	PST	171	P
USGS	11113000	2023-01-03 21:45	PST	171	P
USGS	11113000	2023-01-03 22:00	PST	168	P
USGS	11113000	2023-01-03 22:15	PST	168	P
USGS	11113000	2023-01-03 22:30	PST	168	P
USGS	11113000	2023-01-03 22:45	PST	168	P
USGS	11113000	2023-01-03 23:00	PST	166	P
USGS	11113000	2023-01-03 23:15	PST	166	P
USGS	11113000	2023-01-03 23:30	PST	166	P
USGS	11113000	2023-01-03 23:45	PST	164	P
USGS	11113000	2023-01-04 00:00	PST	164	P
USGS	11113000	2023-01-04 00:15	PST	162	P
USGS	11113000	2023-01-04 00:30	PST	162	P
USGS	11113000	2023-01-04 00:45	PST	162	P
USGS	11113000	2023-01-04 01:00	PST	164	P
USGS	11113000	2023-01-04 01:15	PST	162	P
USGS	11113000	2023-01-04 01:30	PST	164	P
USGS	11113000	2023-01-04 01:45	PST	159	P
USGS	11113000	2023-01-04 02:00	PST	157	P
USGS	11113000	2023-01-04 02:15	PST	157	P
USGS	11113000	2023-01-04 02:30	PST	155	P
USGS	11113000	2023-01-04 02:45	PST	155	P
USGS	11113000	2023-01-04 03:00	PST	155	P
USGS	11113000	2023-01-04 03:15	PST	157	P
USGS	11113000	2023-01-04 03:30	PST	155	P
USGS	11113000	2023-01-04 03:45	PST	153	P
USGS	11113000	2023-01-04 04:00	PST	155	P
USGS	11113000	2023-01-04 04:15	PST	153	P
USGS	11113000	2023-01-04 04:30	PST	155	P
USGS	11113000	2023-01-04 04:45	PST	155	P
USGS	11113000	2023-01-04 05:00	PST	153	P
USGS	11113000	2023-01-04 05:15	PST	153	P
USGS	11113000	2023-01-04 05:30	PST	153	P
USGS	11113000	2023-01-04 05:45	PST	153	P
USGS	11113000	2023-01-04 06:00	PST	155	P
USGS	11113000	2023-01-04 06:15	PST	155	P
USGS	11113000	2023-01-04 06:30	PST	153	P
USGS	11113000	2023-01-04 06:45	PST	151	P
USGS	11113000	2023-01-04 07:00	PST	151	P
USGS	11113000	2023-01-04 07:15	PST	149	P
USGS	11113000	2023-01-04 07:30	PST	149	P
USGS	11113000	2023-01-04 07:45	PST	149	P
USGS	11113000	2023-01-04 11:15	PST	151	P
USGS	11113000	2023-01-04 11:30	PST	155	P
USGS	11113000	2023-01-04 11:45	PST	151	P
USGS	11113000	2023-01-04 12:00	PST	155	P
USGS	11113000	2023-01-04 12:15	PST	155	P
USGS	11113000	2023-01-04 12:30	PST	173	P
USGS	11113000	2023-01-04 12:45	PST	157	P
USGS	11113000	2023-01-04 13:00	PST	157	P
USGS	11113000	2023-01-04 13:15	PST	159	P
USGS	11113000	2023-01-04 13:30	PST	168	P
USGS	11113000	2023-01-04 13:45	PST	177	P
USGS	11113000	2023-01-04 14:00	PST	194	P
USGS	11113000	2023-01-04 14:15	PST	164	P
USGS	11113000	2023-01-04 14:30	PST	173	P
USGS	11113000	2023-01-04 14:45	PST	173	P
USGS	11113000	2023-01-04 15:00	PST	211	P
USGS	11113000	2023-01-04 15:15	PST	209	P
USGS	11113000	2023-01-04 15:30	PST	211	P
USGS	11113000	2023-01-04 15:45	PST	224	P
USGS	11113000	2023-01-04 16:00	PST	230	P
USGS	11113000	2023-01-04 16:15	PST	294	P
USGS	11113000	2023-01-04 16:30	PST	343	P
USGS	11113000	2023-01-04 16:45	PST	407	P
USGS	11113000	2023-01-04 17:00	PST	397	P
USGS	11113000	2023-01-04 17:15	PST	414	P
USGS	11113000	2023-01-04 17:30	PST	438	P
USGS	11113000	2023-01-04 17:45	PST	514	P
USGS	11113000	2023-01-04 18:00	PST	624	P
USGS	11113000	2023-01-04 18:15	PST	748	P
USGS	11113000	2023-01-04 18:30	PST	811	P
USGS	11113000	2023-01-04 18:45	PST	905	P
USGS	11113000	2023-01-04 19:00	PST	994	P
USGS	11113000	2023-01-04 19:15	PST	1060	P
USGS	11113000	2023-01-04 19:30	PST	1090	P
USGS	11113000	2023-01-04 19:45	PST	1130	P
USGS	11113000	2023-01-04 20:00	PST	1170	P
USGS	11113000	2023-01-04 20:15	PST	1220	P
USGS	11113000	2023-01-04 20:30	PST	1190	P
USGS	11113000	2023-01-04 20:45	PST	1220	P
USGS	11113000	2023-01-04 21:00	PST	1220	P
USGS	11113000	2023-01-04 21:15	PST	1250	P
USGS	11113000	2023-01-04 21:30	PST	1220	P
USGS	11113000	2023-01-04 21:45	PST	1210	P
USGS	11113000	2023-01-04 22:00	PST	1190	P
USGS	11113000	2023-01-04 22:15	PST	1170	P
USGS	11113000	2023-01-04 22:30	PST	1150	P
USGS	11113000	2023-01-04 22:45	PST	1090	P
USGS	11113000	2023-01-04 23:00	PST	1060	P
USGS	11113000	2023-01-04 23:15	PST	1060	P
USGS	11113000	2023-01-04 23:30	PST	1070	P
USGS	11113000	2023-01-04 23:45	PST	1030	P
USGS	11113000	2023-01-05 00:00	PST	957	P
USGS	11113000	2023-01-05 00:15	PST	963	P
USGS	11113000	2023-01-05 00:30	PST	963	P
USGS	11113000	2023-01-05 00:45	PST	957	P
USGS	11113000	2023-01-05 01:00	PST	988	P
USGS	11113000	2023-01-05 01:15	PST	988	P
USGS	11113000	2023-01-05 01:30	PST	1090	P
USGS	11113000	2023-01-05 01:45	PST	1220	P
USGS	11113000	2023-01-05 02:00	PST	1500	P
USGS	11113000	2023-01-05 02:15	PST	1770	P
USGS	11113000	2023-01-05 02:30	PST	1970	P
USGS	11113000	2023-01-05 02:45	PST	2110	P
USGS	11113000	2023-01-05 03:00	PST	2330	P
USGS	11113000	2023-01-05 03:15	PST	2500	P
USGS	11113000	2023-01-05 03:30	PST	2790	P
USGS	11113000	2023-01-05 03:45	PST	3050	P
USGS	11113000	2023-01-05 04:00	PST	3420	P
USGS	11113000	2023-01-05 04:15	PST	4020	P
USGS	11113000	2023-01-05 04:30	PST	4690	P
USGS	11113000	2023-01-05 04:45	PST	5510	P
USGS	11113000	2023-01-05 05:00	PST	6230	P
USGS	11113000	2023-01-05 05:15	PST	6860	P
USGS	11113000	2023-01-05 05:30	PST	6950	P
USGS	11113000	2023-01-05 05:45	PST	7050	P
USGS	11113000	2023-01-05 06:00	PST	7090	P
USGS	11113000	2023-01-05 06:15	PST	7120	P
USGS	11113000	2023-01-05 06:30	PST	7590	P
USGS	11113000	2023-01-05 06:45	PST	8190	P
USGS	11113000	2023-01-05 07:00	PST	9040	P
USGS	11113000	2023-01-05 07:15	PST	9470	P
USGS	11113000	2023-01-05 07:30	PST	9770	P
USGS	11113000	2023-01-05 07:45	PST	10400	P
USGS	11113000	2023-01-05 08:00	PST	12200	P
USGS	11113000	2023-01-05 08:15	PST	15700	P
USGS	11113000	2023-01-05 08:30	PST	20900	P
USGS	11113000	2023-01-05 08:45	PST	22200	P
USGS	11113000	2023-01-05 09:00	PST	22400	P
USGS	11113000	2023-01-05 09:15	PST	21500	P
USGS	11113000	2023-01-05 09:30	PST	20100	P
USGS	11113000	2023-01-05 09:45	PST	18900	P
USGS	11113000	2023-01-05 10:00	PST	17100	P
USGS	11113000	2023-01-05 10:15	PST	14000	P
USGS	11113000	2023-01-05 10:30	PST	12500	P
USGS	11113000	2023-01-05 10:45	PST	10500	P
USGS	11113000	2023-01-05 11:00	PST	9860	P
USGS	11113000	2023-01-05 11:15	PST	9200	P
USGS	11113000	2023-01-05 11:30	PST	8590	P
USGS	11113000	2023-01-05 11:45	PST	8680	P
USGS	11113000	2023-01-05 12:00	PST	9250	P
USGS	11113000	2023-01-05 12:15	PST	9730	P
USGS	11113000	2023-01-05 12:30	PST	10400	P
USGS	11113000	2023-01-05 12:45	PST	10600	P
USGS	11113000	2023-01-05 13:00	PST	10800	P
USGS	11113000	2023-01-05 13:15	PST	10400	P
USGS	11113000	2023-01-05 13:30	PST	10500	P
USGS	11113000	2023-01-05 13:45	PST	10000	P
USGS	11113000	2023-01-05 14:00	PST	10000	P
USGS	11113000	2023-01-05 14:15	PST	9400	P
USGS	11113000	2023-01-05 14:30	PST	9190	P
USGS	11113000	2023-01-05 14:45	PST	8870	P
USGS	11113000	2023-01-05 15:00	PST	8590	P
USGS	11113000	2023-01-05 15:15	PST	8150	P
USGS	11113000	2023-01-05 15:30	PST	7760	P
USGS	11113000	2023-01-05 15:45	PST	7320	P
USGS	11113000	2023-01-05 16:00	PST	6700	P
USGS	11113000	2023-01-05 16:15	PST	6330	P
USGS	11113000	2023-01-05 16:30	PST	6060	P
USGS	11113000	2023-01-05 16:45	PST	5880	P
USGS	11113000	2023-01-05 17:00	PST	5430	P
USGS	11113000	2023-01-05 17:15	PST	5180	P
USGS	11113000	2023-01-05 17:30	PST	4940	P
USGS	11113000	2023-01-05 17:45	PST	4440	P
USGS	11113000	2023-01-05 18:00	PST	4180	P
USGS	11113000	2023-01-05 18:15	PST	4000	P
USGS	11113000	2023-01-05 18:30	PST	3690	P
USGS	11113000	2023-01-05 18:45	PST	3650	P
USGS	11113000	2023-01-05 20:45	PST	3050	P:e
USGS	11113000	2023-01-05 22:45	PST	2550	P:e
USGS	11113000	2023-01-06 00:45	PST	2130	P:e
USGS	11113000	2023-01-06 02:45	PST	1780	P:e
USGS	11113000	2023-01-06 04:45	PST	1490	P:e
USGS	11113000	2023-01-06 06:45	PST	1250	P:e
USGS	11113000	2023-01-06 08:45	PST	1040	P:e
USGS	11113000	2023-01-06 10:45	PST	873	P:e
USGS	11113000	2023-01-06 11:45	PST	811	P
USGS	11113000	2023-01-06 12:00	PST	811	P
USGS	11113000	2023-01-06 12:15	PST	795	P
USGS	11113000	2023-01-06 12:30	PST	774	P
USGS	11113000	2023-01-06 12:45	PST	774	P
USGS	11113000	2023-01-06 13:00	PST	764	P
USGS	11113000	2023-01-06 13:15	PST	764	P
USGS	11113000	2023-01-06 13:30	PST	759	P
USGS	11113000	2023-01-06 13:45	PST	748	P
USGS	11113000	2023-01-06 14:00	PST	738	P
USGS	11113000	2023-01-06 14:15	PST	738	P
USGS	11113000	2023-01-06 14:30	PST	728	P
USGS	11113000	2023-01-06 14:45	PST	723	P
USGS	11113000	2023-01-06 15:00	PST	713	P
USGS	11113000	2023-01-06 15:15	PST	709	P
USGS	11113000	2023-01-06 15:30	PST	699	P
USGS	11113000	2023-01-06 15:45	PST	694	P
USGS	11113000	2023-01-06 16:00	PST	680	P
USGS	11113000	2023-01-06 16:15	PST	675	P
USGS	11113000	2023-01-06 16:30	PST	670	P
USGS	11113000	2023-01-06 16:45	PST	661	P
USGS	11113000	2023-01-06 17:00	PST	656	P
USGS	11113000	2023-01-06 17:15	PST	651	P
USGS	11113000	2023-01-06 17:30	PST	642	P
USGS	11113000	2023-01-06 17:45	PST	638	P
USGS	11113000	2023-01-06 18:00	PST	633	P
USGS	11113000	2023-01-06 18:15	PST	624	P
USGS	11113000	2023-01-06 18:30	PST	624	P
USGS	11113000	2023-01-06 18:45	PST	620	P
USGS	11113000	2023-01-06 19:00	PST	611	P
USGS	11113000	2023-01-06 19:15	PST	606	P
USGS	11113000	2023-01-06 19:30	PST	597	P
USGS	11113000	2023-01-06 19:45	PST	589	P
USGS	11113000	2023-01-06 20:00	PST	589	P
USGS	11113000	2023-01-06 20:15	PST	580	P
USGS	11113000	2023-01-06 20:30	PST	576	P
USGS	11113000	2023-01-06 20:45	PST	571	P
USGS	11113000	2023-01-06 21:00	PST	563	P
