Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
44,U.C. Riverside,Los Angeles Basin,2/4/2017,035,0.05, ,0.00, ,210, ,11.2, ,63.6, ,48.5, ,55.7, ,87, ,52, ,74, ,47.4, ,2.3, ,55.1, ,54.5, 
44,U.C. Riverside,Los Angeles Basin,2/5/2017,036,0.02, ,0.00, ,135, ,10.2, ,56.3, ,42.8, ,50.4, ,86, ,73, ,82, ,45.0, ,2.5, ,59.1, ,53.8, 
44,U.C. Riverside,Los Angeles Basin,2/6/2017,037,0.02, ,0.09, ,134, ,11.6, ,60.2, ,50.4, ,54.2, ,84, ,74, ,81, ,48.5, ,3.1, ,75.5, ,54.4, 
44,U.C. Riverside,Los Angeles Basin,2/7/2017,038,0.04, ,0.15, ,183, ,13.7,Y,64.0, ,54.2, ,58.3, ,88, ,68, ,82,Y,52.9,Y,3.8, ,90.1, ,55.8, 
44,U.C. Riverside,Los Angeles Basin,2/8/2017,039,0.06, ,0.02, ,227, ,14.5,Y,69.1, ,55.5, ,60.6, ,88, ,62, ,80,Y,54.5,Y,2.2, ,52.2, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,2/9/2017,040,0.10, ,0.00, ,335, ,13.6,Y,79.3, ,50.8, ,63.3, ,88, ,41, ,69,Y,52.8,Y,2.7, ,65.1, ,58.7, 
44,U.C. Riverside,Los Angeles Basin,2/10/2017,041,0.03, ,0.04, ,142, ,13.2,Y,66.0, ,52.6, ,58.7, ,87, ,65, ,78,Y,51.9,Y,2.7, ,65.1, ,58.8, 
44,U.C. Riverside,Los Angeles Basin,2/11/2017,042,0.06, ,0.09, ,235, ,12.5, ,64.4, ,51.5, ,56.8, ,87, ,62, ,79, ,50.4, ,3.1, ,74.6, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,2/12/2017,043,0.15, ,0.00, ,353, ,8.3, ,70.6, ,47.1, ,59.0, ,86, ,27, ,48, ,39.6, ,6.7, ,161.2, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,2/13/2017,044,0.16, ,0.00, ,341, ,7.1, ,74.9, ,50.6, ,62.7, ,61, ,23, ,36, ,35.6, ,5.4, ,129.9, ,57.1, 
44,U.C. Riverside,Los Angeles Basin,2/14/2017,045,0.10, ,0.00, ,317, ,10.0, ,74.6, ,50.5, ,59.1, ,80, ,30, ,59, ,44.7, ,3.0, ,70.9, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,2/15/2017,046,0.13, ,0.00, ,372, ,7.6, ,79.2, ,47.6, ,61.6, ,82, ,14, ,41, ,37.4, ,2.8, ,66.1, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,2/16/2017,047,0.11, ,0.00, ,331, ,7.6, ,72.2, ,48.2, ,59.9, ,62, ,23, ,43, ,37.6, ,3.1, ,73.6, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,2/17/2017,048,0.02, ,1.07, ,59, ,10.3, ,57.4, ,48.9, ,54.5, ,85, ,61, ,71, ,45.4, ,6.0, ,145.1, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,2/18/2017,049,0.04, ,0.15, ,183, ,10.6, ,59.4, ,48.5, ,52.7, ,87, ,63, ,78, ,46.1, ,3.0, ,71.0, ,55.3, 
44,U.C. Riverside,Los Angeles Basin,2/19/2017,050,0.03, ,0.01, ,136, ,10.7, ,60.6, ,51.0, ,53.5, ,85, ,65, ,76, ,46.3, ,3.1, ,74.6, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,2/20/2017,051,0.07, ,0.00, ,252, ,11.2, ,64.4, ,50.3, ,56.4, ,81, ,58, ,72, ,47.4, ,3.2, ,76.1, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,2/21/2017,052,0.07, ,0.00, ,226, ,11.6, ,69.1, ,53.5, ,59.9, ,85, ,40, ,66, ,48.5, ,2.4, ,57.0, ,58.8, 
44,U.C. Riverside,Los Angeles Basin,2/22/2017,053,0.11, ,0.00, ,359, ,9.2, ,61.9, ,46.2, ,54.2, ,84, ,39, ,64, ,42.5, ,4.2, ,100.0, ,58.9, 
44,U.C. Riverside,Los Angeles Basin,2/23/2017,054,0.12, ,0.00, ,406, ,5.7, ,58.8, ,38.9, ,48.7, ,83, ,24, ,49, ,30.3, ,4.3, ,102.8, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,2/24/2017,055,0.11, ,0.00, ,408, ,5.4, ,61.4, ,36.4, ,48.0, ,79, ,21, ,47, ,28.7, ,3.1, ,73.8, ,55.7, 
44,U.C. Riverside,Los Angeles Basin,2/25/2017,056,0.10, ,0.00, ,355, ,7.0, ,62.5, ,36.6, ,49.5, ,78, ,32, ,58, ,35.5, ,3.4, ,81.2, ,55.1, 
44,U.C. Riverside,Los Angeles Basin,2/26/2017,057,0.04, ,0.29, ,182, ,9.0, ,54.5, ,43.7, ,48.6, ,84, ,61, ,77, ,41.8, ,2.8, ,68.2, ,55.3, 
44,U.C. Riverside,Los Angeles Basin,2/27/2017,058,0.01, ,0.22, ,80, ,9.9, ,52.6, ,43.9, ,49.5, ,87, ,72, ,82, ,44.2, ,2.2, ,52.3, ,55.2, 
44,U.C. Riverside,Los Angeles Basin,2/28/2017,059,0.11, ,0.00, ,418, ,8.0, ,61.9, ,41.0, ,50.9, ,88, ,33, ,63, ,38.9, ,3.1, ,73.7, ,55.6, 
44,U.C. Riverside,Los Angeles Basin,3/1/2017,060,0.14, ,0.00, ,429, ,5.8, ,71.0, ,40.4, ,55.1, ,78, ,16, ,39, ,30.5, ,3.6, ,87.2, ,55.8, 
44,U.C. Riverside,Los Angeles Basin,3/2/2017,061,0.15, ,0.00, ,432, ,4.7, ,76.6, ,42.9, ,59.0, ,51, ,13, ,28, ,25.7, ,3.5, ,82.9, ,55.8, 
44,U.C. Riverside,Los Angeles Basin,3/3/2017,062,0.17, ,0.00, ,438, ,4.6, ,80.3, ,47.6, ,63.1, ,47, ,12, ,23, ,25.3, ,4.0, ,95.6, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,3/4/2017,063,0.12, ,0.00, ,316, ,6.6, ,70.8, ,46.9, ,57.5, ,62, ,21, ,41, ,33.7, ,3.2, ,77.3, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,3/5/2017,064,0.07, ,0.03, ,228, ,8.9, ,61.8, ,41.6, ,51.6, ,82, ,47, ,68, ,41.4, ,3.8, ,91.5, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,3/6/2017,065,0.13, ,0.00, ,447, ,6.1, ,62.7, ,37.4, ,49.6, ,82, ,22, ,51, ,32.0, ,3.3, ,78.1, ,55.7, 
44,U.C. Riverside,Los Angeles Basin,3/7/2017,066,0.15, ,0.00, ,436, ,6.4, ,75.4, ,41.5, ,58.3, ,70, ,19, ,39, ,33.2, ,3.3, ,79.5, ,56.0, 
44,U.C. Riverside,Los Angeles Basin,3/8/2017,067,0.18, ,0.00, ,435, ,7.4, ,82.7, ,49.2, ,66.2, ,63, ,15, ,34, ,36.8, ,4.4, ,106.4, ,57.1, 
44,U.C. Riverside,Los Angeles Basin,3/9/2017,068,0.18, ,0.00, ,453, ,8.0, ,88.2, ,54.2, ,69.0, ,54, ,14, ,33, ,38.9, ,3.6, ,85.8, ,59.0, 
44,U.C. Riverside,Los Angeles Basin,3/10/2017,069,0.15, ,0.00, ,392, ,9.6, ,82.7, ,52.4, ,66.7, ,69, ,22, ,43, ,43.5, ,3.0, ,72.7, ,60.2, 
44,U.C. Riverside,Los Angeles Basin,3/11/2017,070,0.17, ,0.00, ,454, ,10.1, ,84.1, ,51.9, ,67.1, ,72, ,23, ,44, ,44.7, ,3.6, ,87.0, ,61.3, 
44,U.C. Riverside,Los Angeles Basin,3/12/2017,071,0.18, ,0.00, ,466, ,10.0, ,90.6, ,52.8, ,70.7, ,76, ,12, ,39, ,44.5, ,3.0, ,72.6, ,62.0, 
44,U.C. Riverside,Los Angeles Basin,3/13/2017,072,0.19, ,0.00, ,472, ,8.5, ,91.9,Y,56.2, ,72.6,Y,59, ,11, ,31,Y,40.4,Y,3.4, ,80.7, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,3/14/2017,073,0.19, ,0.00, ,446, ,8.4, ,88.0, ,56.6, ,71.0, ,56, ,15, ,32, ,40.0, ,3.4, ,82.5, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,3/15/2017,074,0.19, ,0.00, ,447, ,9.0, ,86.1, ,55.9, ,70.2, ,57, ,20, ,36, ,41.7, ,3.5, ,84.4, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,3/16/2017,075,0.17, ,0.00, ,465, ,9.9, ,82.7, ,53.5, ,67.6, ,68, ,21, ,43, ,44.2, ,3.2, ,77.6, ,64.1, 
44,U.C. Riverside,Los Angeles Basin,3/17/2017,076,0.17, ,0.00, ,442, ,10.8, ,84.1, ,53.0, ,68.3, ,77, ,23, ,46, ,46.7, ,3.1, ,73.7, ,64.3, 
44,U.C. Riverside,Los Angeles Basin,3/18/2017,077,0.16, ,0.00, ,447, ,11.4, ,81.8, ,51.2, ,65.3, ,81, ,26, ,53, ,47.9, ,3.1, ,75.2, ,65.0, 
44,U.C. Riverside,Los Angeles Basin,3/19/2017,078,0.18, ,0.00, ,473, ,10.6, ,83.5, ,51.1, ,65.9, ,80, ,20, ,49, ,46.1, ,4.0, ,96.7, ,64.6, 
44,U.C. Riverside,Los Angeles Basin,3/20/2017,079,0.12, ,0.00, ,390, ,11.8, ,69.8, ,53.6, ,58.8, ,85, ,51, ,70, ,48.9, ,3.8, ,92.2, ,64.9, 
44,U.C. Riverside,Los Angeles Basin,3/21/2017,080,0.09, ,0.06, ,294, ,12.3, ,67.2, ,53.0, ,58.9, ,87, ,54, ,72, ,50.1, ,3.6, ,86.0, ,64.7, 
44,U.C. Riverside,Los Angeles Basin,3/22/2017,081,0.10, ,0.06, ,324, ,12.0, ,66.5, ,53.7, ,58.6, ,88, ,44, ,71, ,49.3, ,5.2, ,125.3, ,64.5, 
44,U.C. Riverside,Los Angeles Basin,3/23/2017,082,0.16, ,0.00, ,494, ,8.6, ,66.5, ,49.3, ,56.7, ,78, ,32, ,55, ,40.8, ,4.2, ,101.0, ,63.8, 
44,U.C. Riverside,Los Angeles Basin,3/24/2017,083,0.16, ,0.00, ,488, ,8.4, ,71.2, ,43.4, ,56.8, ,80, ,30, ,53, ,40.1, ,3.7, ,87.6, ,62.8, 
44,U.C. Riverside,Los Angeles Basin,3/25/2017,084,0.14, ,0.00, ,453, ,10.7, ,68.5, ,48.1, ,57.3, ,82, ,46, ,67, ,46.3, ,4.2, ,101.2, ,63.1, 
44,U.C. Riverside,Los Angeles Basin,3/26/2017,085,0.14, ,0.00, ,444, ,11.3, ,68.4, ,51.4, ,59.0, ,84, ,44, ,66, ,47.7, ,3.9, ,93.3, ,63.4, 
44,U.C. Riverside,Los Angeles Basin,3/27/2017,086,0.15, ,0.00, ,435, ,10.1, ,69.3, ,53.2, ,59.4, ,82, ,37, ,58, ,44.8, ,4.9, ,118.6, ,63.9, 
44,U.C. Riverside,Los Angeles Basin,3/28/2017,087,0.28, ,0.00, ,524, ,4.5, ,77.6, ,57.4,Y,66.0, ,39, ,9, ,20, ,24.4, ,10.1,R,241.3,R,62.1, 
44,U.C. Riverside,Los Angeles Basin,3/29/2017,088,0.22, ,0.00, ,522, ,6.3, ,83.1, ,53.0, ,67.9, ,45, ,14, ,27, ,32.6, ,4.6, ,110.8, ,61.3, 
44,U.C. Riverside,Los Angeles Basin,3/30/2017,089,0.20, ,0.00, ,508, ,8.3, ,74.6, ,51.5, ,61.6, ,63, ,28, ,44, ,39.7, ,4.9, ,118.0, ,62.3, 
44,U.C. Riverside,Los Angeles Basin,3/31/2017,090,0.19, ,0.00, ,521, ,5.5, ,69.9, ,45.8, ,57.7, ,51, ,21, ,34, ,29.4, ,4.8, ,116.3, ,60.9, 
44,U.C. Riverside,Los Angeles Basin,4/1/2017,091,0.20, ,0.00, ,525, ,7.6, ,76.6, ,45.5, ,61.4, ,64, ,24, ,41, ,37.3, ,4.5, ,109.0, ,61.0, 
44,U.C. Riverside,Los Angeles Basin,4/2/2017,092,0.20, ,0.00, ,530, ,8.1, ,78.8, ,49.3, ,63.3, ,71, ,20, ,41, ,39.1, ,4.2, ,101.4, ,61.6, 
44,U.C. Riverside,Los Angeles Basin,4/3/2017,093,0.16, ,0.00, ,526, ,10.4, ,69.3, ,47.5, ,57.3, ,80, ,42, ,65, ,45.5, ,4.2, ,101.6, ,62.3, 
44,U.C. Riverside,Los Angeles Basin,4/4/2017,094,0.19, ,0.00, ,519, ,10.5, ,80.9, ,54.0, ,64.6, ,79, ,19, ,51, ,45.9, ,3.7, ,87.9, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,4/5/2017,095,0.23, ,0.00, ,538, ,7.7, ,85.5, ,53.4, ,69.2, ,74, ,14, ,31, ,37.6, ,4.2, ,100.3, ,64.0, 
44,U.C. Riverside,Los Angeles Basin,4/6/2017,096,0.20, ,0.00, ,498, ,8.8, ,80.7, ,54.3, ,65.7, ,76, ,22, ,41, ,41.3, ,3.8, ,90.2, ,64.6, 
44,U.C. Riverside,Los Angeles Basin,4/7/2017,097,0.18, ,0.00, ,504, ,9.4, ,76.0, ,49.9, ,61.8, ,85, ,23, ,50, ,43.0, ,3.8, ,92.1, ,64.4, 
44,U.C. Riverside,Los Angeles Basin,4/8/2017,098,0.16, ,0.04, ,461, ,9.6, ,67.8, ,49.4, ,57.8, ,83, ,40, ,59, ,43.5, ,5.1, ,123.5, ,64.6, 
44,U.C. Riverside,Los Angeles Basin,4/9/2017,099,0.16, ,0.00, ,460, ,6.9, ,73.7, ,45.9, ,58.4, ,75, ,14, ,42, ,35.2, ,4.2, ,99.7, ,62.6, 
44,U.C. Riverside,Los Angeles Basin,4/10/2017,100,0.21, ,0.00, ,562, ,6.1, ,78.3, ,45.8, ,62.1, ,62, ,14, ,32, ,31.8, ,4.0, ,96.0, ,62.7, 
44,U.C. Riverside,Los Angeles Basin,4/11/2017,101,0.20, ,0.00, ,522, ,7.5, ,76.7, ,48.8, ,62.0, ,64, ,20, ,39, ,37.1, ,4.1, ,98.9, ,62.5, 
44,U.C. Riverside,Los Angeles Basin,4/12/2017,102,0.20, ,0.00, ,557, ,9.5, ,75.5, ,47.8, ,61.7, ,75, ,28, ,51, ,43.3, ,4.5, ,106.8, ,62.3, 
44,U.C. Riverside,Los Angeles Basin,4/13/2017,103,0.16, ,0.00, ,444, ,10.6, ,69.1, ,51.5, ,60.2, ,80, ,43, ,59, ,46.0, ,4.9, ,118.7, ,63.8, 
44,U.C. Riverside,Los Angeles Basin,4/14/2017,104,0.18, ,0.00, ,561, ,9.2, ,69.5, ,47.5, ,57.9, ,79, ,37, ,56, ,42.2, ,4.5, ,106.9, ,62.5, 
44,U.C. Riverside,Los Angeles Basin,4/15/2017,105,0.22, ,0.00, ,568, ,7.9, ,78.2, ,46.0, ,62.9, ,73, ,25, ,40, ,38.5, ,4.1, ,97.5, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,4/16/2017,106,0.21, ,0.00, ,557, ,7.5, ,79.0, ,51.4, ,64.5, ,61, ,16, ,36, ,37.2, ,4.1, ,98.0, ,63.3, 
44,U.C. Riverside,Los Angeles Basin,4/17/2017,107,0.19, ,0.00, ,528, ,10.6, ,77.0, ,50.0, ,64.1, ,80, ,22, ,52, ,46.0, ,4.7, ,113.7, ,64.2, 
44,U.C. Riverside,Los Angeles Basin,4/18/2017,108,0.18, ,0.00, ,509, ,14.0, ,75.7, ,59.2, ,65.8, ,81, ,43, ,65, ,53.6, ,4.6, ,111.0, ,66.4, 
44,U.C. Riverside,Los Angeles Basin,4/19/2017,109,0.21, ,0.00, ,568, ,11.8, ,76.5, ,57.2, ,65.6, ,83, ,33, ,55, ,49.0, ,4.6, ,110.3, ,67.6, 
44,U.C. Riverside,Los Angeles Basin,4/20/2017,110,0.21, ,0.00, ,725,R,11.4, ,79.3, ,32.0,R,70.5, ,79, ,34, ,45, ,48.1, ,5.6, ,135.3, ,67.6, 
44,U.C. Riverside,Los Angeles Basin,4/21/2017,111,0.26, ,0.00, ,590, ,9.8, ,90.7, ,54.1, ,73.3, ,77, ,13, ,35, ,43.9, ,4.9, ,116.6, ,68.1, 
44,U.C. Riverside,Los Angeles Basin,4/22/2017,112,0.26, ,0.00, ,592, ,9.1, ,91.8, ,59.5, ,74.8, ,52, ,15, ,31, ,42.0, ,4.1, ,98.4, ,68.2, 
44,U.C. Riverside,Los Angeles Basin,4/23/2017,113,0.23, ,0.00, ,582, ,12.6, ,81.8, ,57.7, ,67.9, ,86, ,34, ,54, ,50.7, ,4.8, ,115.0, ,69.7, 
44,U.C. Riverside,Los Angeles Basin,4/24/2017,114,0.12, ,0.00, ,385, ,14.5, ,70.3, ,55.3, ,61.6, ,95, ,57, ,77, ,54.4, ,4.6, ,111.1, ,68.8, 
44,U.C. Riverside,Los Angeles Basin,4/25/2017,115,0.15, ,0.00, ,422, ,12.1, ,71.7, ,52.4, ,62.2, ,97, ,41, ,63, ,49.6, ,4.0, ,96.6, ,68.3, 
44,U.C. Riverside,Los Angeles Basin,4/26/2017,116,0.18, ,0.00, ,475, ,12.5, ,77.8, ,53.2, ,65.4, ,82, ,36, ,58, ,50.4, ,4.1, ,99.1, ,68.2, 
44,U.C. Riverside,Los Angeles Basin,4/27/2017,117,0.17, ,0.00, ,491, ,13.8, ,75.7, ,53.4, ,65.4, ,93, ,44, ,65, ,53.2, ,4.0, ,96.2, ,68.2, 
44,U.C. Riverside,Los Angeles Basin,4/28/2017,118,0.27, ,0.00, ,577, ,8.8, ,80.2, ,52.8, ,68.5, ,92, ,13, ,37, ,41.2, ,7.3,Y,176.3,Y,68.0, 
44,U.C. Riverside,Los Angeles Basin,4/29/2017,119,0.36, ,0.00, ,635, ,3.9,Y,82.9, ,57.9, ,70.8, ,32, ,8, ,15,Y,21.2,Y,11.2,R,269.6,R,65.0, 
44,U.C. Riverside,Los Angeles Basin,4/30/2017,120,0.27, ,0.00, ,627, ,5.9, ,86.2, ,50.9, ,69.7, ,50, ,12, ,24, ,31.2, ,4.5, ,106.8, ,66.3, 
44,U.C. Riverside,Los Angeles Basin,5/1/2017,121,0.25, ,0.00, ,615, ,8.0, ,88.4, ,52.8, ,70.3, ,52, ,18, ,32, ,38.9, ,4.2, ,101.4, ,66.3, 
44,U.C. Riverside,Los Angeles Basin,5/2/2017,122,0.25, ,0.00, ,606, ,10.0, ,89.5, ,55.2, ,72.2, ,61, ,22, ,37, ,44.5, ,4.2, ,100.5, ,69.7, 
44,U.C. Riverside,Los Angeles Basin,5/3/2017,123,0.23, ,0.00, ,597, ,13.9, ,90.0, ,56.5, ,72.3, ,78, ,32, ,51, ,53.4, ,4.1, ,97.2, ,69.9, 
44,U.C. Riverside,Los Angeles Basin,5/4/2017,124,0.23, ,0.00, ,597, ,14.7, ,90.7, ,57.8, ,71.7, ,84, ,29, ,55, ,54.9, ,4.1, ,98.8, ,70.6, 
44,U.C. Riverside,Los Angeles Basin,5/5/2017,125,0.18, ,0.00, ,545, ,15.7, ,77.0, ,55.2, ,64.7, ,99, ,48, ,75, ,56.6, ,4.4, ,106.6, ,70.8, 
44,U.C. Riverside,Los Angeles Basin,5/6/2017,126,0.06, ,0.04, ,243, ,13.2, ,65.8, ,47.6, ,58.0, ,100, ,62, ,80, ,52.0, ,4.7, ,112.9, ,69.0, 
44,U.C. Riverside,Los Angeles Basin,5/7/2017,127,0.13, ,0.02, ,455, ,9.7, ,61.9, ,46.0, ,52.5, ,90, ,49, ,72, ,43.7, ,5.4, ,130.0, ,66.3, 
